name,normalizedName,description,eligibilityStatus,category,sourceUrl,source,scrapedAt
"Air Conditioner","air conditioner","Air conditioner reimbursement may be eligible in limited circumstances with a Letter of Medical Necessity (LMN) with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Air conditioner reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible w/LMN","","https://hsastore.com/hsa-eligibility-list/a/air-conditioner","hsastore","2026-06-07T22:11:28.669Z"
"Air Filter","air filter","Air filter reimbursement may be eligible with a Letter of Medical Necessity (LMN) with a flexible spending account (FSA), health savings account (HSA) and a health reimbursement arrangement (HRA). Air filter reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible w/LMN","","https://hsastore.com/hsa-eligibility-list/a/air-filter","hsastore","2026-06-07T22:11:28.669Z"
"Air Purifier","air purifier","Air purifiers may be eligible for reimbursement with flexible spending accounts (FSA), health savings accounts (HSA), and health reimbursement accounts (HRA) with a Letter of Medical Necessity (LMN). In order to qualify, the primary purpose of the air purifier must be for treatment, diagnosis, mitigation or cure of a medical condition or disease and the air purifier must not be purchased but for that primary purpose. Air purifiers are not eligible for reimbursement with a limited purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible w/LMN","","https://hsastore.com/hsa-eligibility-list/a/air-purifier","hsastore","2026-06-07T22:11:28.669Z"
"Airfare Related to Medical Treatment","airfare related to medical treatment","Airfare related to medical treatment is eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Airfare related to medical treatment is not eligible for reimbursement with a dependent care flexible spending account (DCFSA). Airfare related to dental, vision, or preventive care may be eligible with a limited purpose flexible spending account (LPFSA). A benefits administrator will require information and documentation to prove that the air fare is in fact related to medical care.","Eligible","","https://hsastore.com/hsa-eligibility-list/a/airfare-related-to-medical-treatment","hsastore","2026-06-07T22:11:28.669Z"
"Alcoholism/Substance Abuse Treatment","alcoholism substance abuse treatment","Alcoholism treatment reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Alcoholism treatment reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA). Some plan administrators may require a Letter of Medical Necessity (LMN) for reimbursement.","Eligible","","https://hsastore.com/hsa-eligibility-list/a/alcoholismsubstance-abuse-treatment","hsastore","2026-06-07T22:11:28.669Z"
"Allergy Medicines","allergy medicines","Allergy medicine reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Allergy medicine reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Cold And Allergy","https://hsastore.com/hsa-eligibility-list/a/allergy-medicines","hsastore","2026-06-07T22:11:28.669Z"
"Allergy Products and Treatment (Non-Drug)","allergy products and treatment non drug","Allergy products and treatment (non-drug allergy treatment products like pillows, vacuum cleaners, etc.) are sometimes eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA) and a health reimbursement arrangement (HRA) with a Letter of Medical Necessity (LMN) from a physician. The reimbursable amount is limited to the excess cost of the special item when compared with a normally priced item and only when the primary purpose for diagnosis, treatment, mitigation or cure of a disease. Allergy products and treatment are not eligible for reimbursement with a dependent care flexible spending account (DCFSA) and a limited-purpose flexible spending account (LPFSA).","Eligible w/LMN","Cold And Allergy","https://hsastore.com/hsa-eligibility-list/a/allergy-products-and-treatment-non-drug","hsastore","2026-06-07T22:11:28.669Z"
"Allergy Testing","allergy testing","Allergy testing reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Allergy testing reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","","https://hsastore.com/hsa-eligibility-list/a/allergy-testing","hsastore","2026-06-07T22:11:28.669Z"
"Aloe Vera","aloe vera","Aloe Vera creams and ointments reimbursement may be eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA), or a health reimbursement arrangement (HRA) with a Letter of Medical Necessity (LMN). Aloe Vera creams and ointments are not eligible for reimbursement with a dependent care flexible spending account (DCFSA) or a limited-purpose flexible spending account (LPFSA).","Eligible w/LMN","","https://hsastore.com/hsa-eligibility-list/a/aloe-vera","hsastore","2026-06-07T22:11:28.669Z"
"Alopecia Treatment","alopecia treatment","Alopecia treatment reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA) with a Letter of Medical Necessity (LMN) from a physician. However, normal male pattern baldness treatment is not eligible, if the sole purpose is to enhance appearance as this would be considered a cosmetic expense. Alopecia treatment reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible w/LMN","","https://hsastore.com/hsa-eligibility-list/a/alopecia-treatment","hsastore","2026-06-07T22:11:28.669Z"
"Alternative Healers","alternative healers","Alternative healer reimbursement (provided that the service is eligible) is eligible with a flexible spending account (FSA), health savings account (HSA) or a health reimbursement arrangement (HRA). Alternative healer reimbursement may be eligible with a limited-purpose flexible spending account (LPFSA) if the expense is dental or vision related. Alternative healer reimbursement is not eligible with a dependent care flexible spending account (DCFSA). Some benefits administrators my require documentation to support that treatment from the alternative healer was primarily used to treat a specific medical condition. Speak with your benefits administrator about what type of information if any may be required for an alternative healer expense to qualify.","Eligible","","https://hsastore.com/hsa-eligibility-list/a/alternative-healers","hsastore","2026-06-07T22:11:28.669Z"
"Alternative Treatments","alternative treatments","Alternative treatment reimbursement is eligible with a flexible spending account (FSA), health savings account (HSA) and a health reimbursement arrangement (HRA). Alternative treatment reimbursement, if related to vision or dental expenses, may be eligible with a limited-purpose flexible spending account (LPFSA). Alternative treatment reimbursement is not eligible with a dependent care flexible spending account (DCFSA). Some benefits administrators may require documentation to support that treatment from the alternative healer was primarily for the treatment of a specific medical condition and not for general health. Speak with your benefits administrator about what type of information if any may be required for an alternative healer expense to qualify.","Eligible","","https://hsastore.com/hsa-eligibility-list/a/alternative-treatments","hsastore","2026-06-07T22:11:28.669Z"
"Ambulance and Emergency Room","ambulance and emergency room","Ambulance and emergency room reimbursement, including air lifts and flights to hospitals, is eligible with a flexible spending account (FSA), health savings account (HSA) and health reimbursement arrangement (HRA). Ambulance and emergency room reimbursement is not eligible with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","","https://hsastore.com/hsa-eligibility-list/a/ambulance-and-emergency-room","hsastore","2026-06-07T22:11:28.669Z"
"Analgesics (OTC)","analgesics otc","Analgesics (painkillers) are eligible for reimbursement with a flexible spending account (FSA), health savings account (HSA) or health reimbursement arrangement (HRA). Analgesics are not eligible for reimbursement with a limited-purpose flexible spending account (LPFSA) or a dependent care flexible spending account (DCFSA).","Eligible","Pain Relief","https://hsastore.com/hsa-eligibility-list/a/analgesics-otc","hsastore","2026-06-07T22:11:28.669Z"
